pair_str,n,rho_vol,rho_netcoop,rho_tone
EUR-USA,78,0.68,-0.18,0.19
CHN-USA,78,0.62,0.32,0.57
CAN-USA,78,0.55,0.11,0.08
JPN-USA,78,0.48,0.03,0.28
MEX-USA,78,0.47,-0.07,0.01
CHN-EUR,78,0.41,0.26,0.21
JPN-KOR,78,0.39,0.14,0.32
KOR-USA,78,0.39,0.06,0.21
CAN-EUR,78,0.36,-0.17,-0.2
IND-USA,78,0.31,-0.03,-0.02
EUR-JPN,78,0.3,-0.0,-0.05
CHN-IND,76,0.25,0.3,0.13
BRA-IND,20,0.22,-0.18,-0.48
CHN-KOR,75,0.15,0.08,0.12
EUR-MEX,72,0.13,0.09,-0.1
CHN-JPN,78,0.11,0.05,-0.01
CAN-CHN,75,0.1,0.04,0.27
BRA-CHN,61,0.09,0.26,0.28
EUR-IND,78,0.06,0.08,0.1
BRA-EUR,78,0.02,0.03,-0.01
EUR-KOR,76,-0.0,-0.12,0.14
CHN-MEX,38,-0.04,0.0,0.14
BRA-USA,78,-0.44,0.03,0.04
